🔒 Row ID,stationID,fuel_type,price,creation_date,station_name_from_form
IS6q-rwJTuioA8YEzGLTdQ,vwfz14kZQGynatSlFITOFg,АИ-80,8100,"06/11/2024, 12:20:54",IBR Petroleum START
ZnuJ-gAgSbqBTx0QYteq5Q,vwfz14kZQGynatSlFITOFg,АИ-92,10500,"06/11/2024, 12:21:04",IBR Petroleum START
dWFeHuSnT4WL4DsrNt8cmQ,vwfz14kZQGynatSlFITOFg,АИ-95,12500,"06/11/2024, 12:23:04",IBR Petroleum START
7FcNby-oSHW6.3Sqi52xpg,WLQ08nGNSi2PqEJ3w6CV8w,АИ-92,10700,"06/11/2024, 12:33:54",UzGazoil 
SavEjBcmTreDmy3u8LuOFw,WLQ08nGNSi2PqEJ3w6CV8w,АИ-80,6900,"06/11/2024, 12:33:45",UzGazoil 
YBa05lJeQeWsWHEAnjey6g,WLQ08nGNSi2PqEJ3w6CV8w,Дизель,12500,"06/11/2024, 12:34:04",UzGazoil 
XUjxBb-YTgSBSPwJE8Gguw,Y3Vqf2THTv6elF1OpgX-Bw,АИ-80,8100,"06/11/2024, 12:44:27",IBR Plane
l5v6Ih1KSgSBHu3cFfFiNw,Y3Vqf2THTv6elF1OpgX-Bw,АИ-92,10500,"06/11/2024, 12:44:37",IBR Plane
Da01QMzoSe-nNGJigxBpiw,Y3Vqf2THTv6elF1OpgX-Bw,АИ-95,12500,"06/11/2024, 12:44:47",IBR Plane
TowXEGyISAOXB8f3lKeKcw,S91otrDTQT-fNwl6RSeEwA,Метан,3950,"06/11/2024, 12:55:33",METAN 
a.GjHv-keTiuwoE0S46fcWQ,nz26c2JsQQeQE1EH7g9GYw,Метан,3950,"06/11/2024, 13:07:45",METAN 
4m1-QZnVQ0-XPW36fC6fZQ,7Wk3kOdWRr2dkGsx47vy2g,АИ-92,10500,"06/11/2024, 13:12:01",Comfort oil
I7uhH44bT-yGdVueHaR93Q,7Wk3kOdWRr2dkGsx47vy2g,АИ-95,13500,"06/11/2024, 13:12:21",Comfort oil
Ijw076tGQyaUlC2FEt67yw,7Wk3kOdWRr2dkGsx47vy2g,Дизель,12500,"06/11/2024, 13:12:31",Comfort oil
x6zWDJYVQIu-xyvxpY3NsQ,vx6z1yNqSS-hm7scrxcQRg,АИ-80,8000,"06/11/2024, 13:17:37",BEST Petroleum 
zcadg9MUSDSDae5jD-c9XA,vx6z1yNqSS-hm7scrxcQRg,АИ-92,10700,"06/11/2024, 13:17:47",BEST Petroleum 
N9S8C89uQnqXf6JmFrffgA,vx6z1yNqSS-hm7scrxcQRg,Дизель,10700,"06/11/2024, 13:17:57",BEST Petroleum 
fGlg7-WaRtSNhiYozC.UIw,j.drYLFlQBmNsPqZYMfGkw,Метан,3950,"06/11/2024, 13:24:06",METAN 
MeusdY--Rrqy.QECQ7gyHg,vWAx9-X3S4u-FrC.XS1whA,АИ-92,10500,"06/11/2024, 13:30:15",IBR MAX 
a-swFw3VMRtW4cC2cATGnoA,vWAx9-X3S4u-FrC.XS1whA,АИ-80,8100,"06/11/2024, 13:30:09",IBR MAX 
gHuOLYgDRauAkb1j1MQfhg,vWAx9-X3S4u-FrC.XS1whA,АИ-95,12500,"06/11/2024, 13:31:05",IBR MAX 
PkAvkqeuRS6Bhkr.JLnblQ,83E.JpQjRbGjVu2C28c7Mg,АИ-80,8500,"07/11/2024, 14:06:46",MUSTANG 
IBmyqcOQTIib4ODt9K8ghA,83E.JpQjRbGjVu2C28c7Mg,АИ-95,13100,"07/11/2024, 14:07:26",MUSTANG 
mAV-CdJQSEeyz25z22KAfg,eNeWCD31QGiQ-8Vv-vUiGw,АИ-80,7400,"08/11/2024, 9:28:31",OLOVIDIN
